Geneid,Genesymbol,Genebiotype,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2
ENSG00000106785,TRIM14,protein_coding,2059,2341,2730,3121,272,111,201,571
ENSG00000106789,CORO2A,protein_coding,1207,1421,829,1193,300,100,135,324
ENSG00000106799,TGFBR1,protein_coding,1232,1328,808,953,3075,1011,1003,2719
ENSG00000106803,SEC61B,protein_coding,1946,2462,2746,2747,1403,461,639,1431
ENSG00000106804,C5,protein_coding,29,40,54,49,64,17,32,91
ENSG00000106809,OGN,protein_coding,0,0,0,0,0,0,0,0
ENSG00000106819,ASPN,protein_coding,0,1,0,0,0,0,0,0
ENSG00000106823,ECM2,protein_coding,2,1,1,0,15,6,7,15
ENSG00000106829,TLE4,protein_coding,8,21,3,11,95,25,24,63
ENSG00000106852,LHX6,protein_coding,1,0,1,1,241,64,79,203
ENSG00000106853,PTGR1,protein_coding,3052,3500,3050,3609,1001,316,372,917
ENSG00000106868,SUSD1,protein_coding,24,20,37,57,155,38,49,129
ENSG00000106927,AMBP,protein_coding,0,3,9,10,0,0,0,1
ENSG00000106948,AKNA,protein_coding,313,310,299,405,70,30,44,115
ENSG00000106952,TNFSF8,protein_coding,0,0,1,2,2,0,2,1
ENSG00000106976,DNM1,protein_coding,164,135,151,209,301,90,115,365
ENSG00000106991,ENG,protein_coding,5,2,1,4,0,0,0,1
ENSG00000106992,AK1,protein_coding,602,695,342,489,66,27,31,64
ENSG00000106993,CDC37L1,protein_coding,3399,3768,3857,4411,190,54,88,249
ENSG00000107014,RLN2,protein_coding,44,59,153,363,1,1,0,6
ENSG00000107018,RLN1,protein_coding,151,147,478,598,1,1,4,8
ENSG00000107020,PLGRKT,protein_coding,517,541,1626,2600,331,114,192,408
ENSG00000107021,TBC1D13,protein_coding,813,1026,718,1240,242,83,152,357
ENSG00000107036,RIC1,protein_coding,2255,2734,1508,1476,1545,475,238,632
ENSG00000107077,KDM4C,protein_coding,2485,2810,1693,1974,1158,427,238,612
ENSG00000107099,DOCK8,protein_coding,100,177,104,95,158,52,85,225
ENSG00000107104,KANK1,protein_coding,643,728,726,909,1548,560,521,1446
ENSG00000107105,ELAVL2,protein_coding,93,111,126,136,1064,314,282,804
ENSG00000107130,NCS1,protein_coding,2622,2923,2045,3035,771,310,436,1101
ENSG00000107140,TESK1,protein_coding,1826,2081,1317,1687,477,166,247,620
ENSG00000107147,KCNT1,protein_coding,5,10,13,13,1,0,0,0
ENSG00000107159,CA9,protein_coding,103,111,6,8,670,232,4,10
ENSG00000107164,FUBP3,protein_coding,4525,5265,4989,5676,356,104,137,379
ENSG00000107165,TYRP1,protein_coding,35,50,56,52,0,0,1,1
